Initiating Exchange,Option Symbol,Option Name,Program List Date
BOX,ACI,"ARCH COAL, INC.",5/7/2013
CBOE,AFFY,Affymax Inc.,5/13/2013
PHLX,AKS,AK STEEL HOLDING CORP.,7/26/2012
PHLX,ALU,ALCATEL-LUCENT,7/6/2010
CBOE,ALXA,"Alexza Pharmaceuticals, Inc.",2/17/2012
NSDQ,AMD,ADVANCED MICRO-DEVICES,7/11/2012
ISE,ARIA,ARIAD PHARMA,10/9/2013
PHLX,BIOD,"Biodel, Inc.",9/9/2013
ISE,CIM,Chimera Investment Corp,11/15/2012
CBOE,CLSN,Celsion Corporation,8/24/2011
ARCA,CTIC,"Cell Therapeutics, Inc.",9/29/2009
CBOE,DCTH,"Delcath Systems, Inc.",4/17/2013
ISE,DNDN,DENDREON CORP.,8/17/2012
NSDQ,DRYS,DRY SHIPS INC,10/21/2010
AMEX,EGLE,EAGLE Bulk Shiping Inc,1/25/2011
CBOE,EGO,ELDORADO GOLD CORP,5/8/2013
CBOE,FTR,Frontier Communications Corp.,3/8/2012
AMEX,GALE,Galena Biopharma Inc.,5/1/2013
ISE,GNW,"Genworth Financial, Inc. (Holding Company)",7/25/2012
ISE,GRPN,Groupon Inc,8/16/2012
CBOE,HDY,Hyperdynamics Corp.,2/17/2012
ISE,HL,HECLA  MINING COMPANY,4/4/2012
CBOE,HZNP,"Horizon Pharma, Inc.",8/16/2012
CBOE,IAG,IAM GOLD CORP,5/8/2013
CBOE,IMUC,ImmunoCellular Therapeutics Ltd.,10/14/2013
NSDQ,JRCC,James River Coal Company,5/29/2012
CBOE,KCG,"Knight Capital Group, Inc.",9/4/2012
CBOE,KERX,"KERYX BIOPHARMACEUTICALS, INC.",11/13/2012
ISE,LDK,"LDK Solar Co., Ltd.",11/4/2011
NOBO,NBG,National Bank of Greece S.A.,4/10/2013
NSDQ,NG,NOVAGOLD RESOURCES INC,7/31/2012
BOX,NOK,NOKIA CORP,4/11/2012
CBOE,OCZ,OCZ Technology Group Inc,10/30/2012
NSDQ,ODP,OFFICE DEPOT INC.,10/21/2010
ARCA,PAL,NORTH AMERICAN PALLADIUM,5/29/2013
CBOE,PPHM,"Peregrine Pharmaceuticals, Inc.",10/4/2012
AMEX,PRKR,"ParkerVision, Inc.",11/14/2013
AMEX,RAD,RITE AID CORPORATION,2/6/2013
AMEX,RENN,"Renren, Inc.",6/15/2012
BOX,RMTI,"Rockwell Medical, Inc.",5/15/2013
PHLX,RSH,RADIOSHACK CORP.,6/15/2012
PHLX,SIRI,Sirius XM Holdings Inc.,4/29/2010
BOX,SNTA,Synta Pharmaceuticals Corporation,6/18/2013
PHLX,SNV,SYNOVOUS FINANCIAL CORP,7/6/2010
AMEX,SOL,ReneSola Ltd (ADS),10/28/2013
PHLX,SQNM,Sequenom Inc.,7/26/2012
ARCA,STSI,"Star Scientific, Inc.",9/29/2009
CBOE,TLAB,"TELLABS, INC.",3/21/2011
BOX,TSL,Trina Solar Ltd. (ADS),4/10/2013
PHLX,VRNG,Vringo Inc,7/26/2012
ARCA,ZNGA,Zynga Inc.,6/12/2012
