Initiating Exchange,Option Symbol,Option Name,Program List Date
C2,A,"AGILENT TECHNOLOGIES, INC.",9/29/2011
PHLX,AAWW,"Atlas Air Worldwide Holdings, Inc.",9/11/2009
CBOE,ABBV,AbbVie Inc.,1/8/2013
BOX,ABC,"AMERISOURCEBERGEN, CORP.",6/18/2013
PHLX,ABT,ABBOTT LABORATORIES,2/5/1999
C2,ABX,BARRICK GOLD CORP,9/29/2011
ARCA,ACE,ACE LIMITED,2/18/2011
AMEX,ACN,Accenture PLC,6/22/2010
ISE,ADBE,ADOBE SYSTEMS INC.,9/18/2013
PHLX,ADP,AUTOMATIC DATA PROCESSINGINC,2/5/1999
BOX,AEGR,"Aegerion Pharmaceuticals, Inc.",6/18/2013
ARCA,AEM,Agnico Eagle Mines Limited,9/8/2010
PHLX,AER,AerCap Holdings NV,12/16/2013
AMEX,AFL,AFLAC INC.,4/6/2011
ARCA,AFSI,"Amtrust Financial Services, Inc.",10/1/2013
PHLX,AGN,"ALLERGAN, INC.",8/3/2010
AMEX,AGU,AGRIUM INC.,5/24/2010
NOBO,AIG,AMERICAN INTERNATIONAL GROUP,5/6/2013
AMEX,AIZ,ASSURANT INC,11/30/2009
C2,AKAM,"AKAMAI TECHNOLOGIES, INC",9/29/2011
PHLX,ALL,ALLSTATE CORPORATION,10/9/2013
ARCA,AMGN,AMGEN,4/19/2010
AMEX,AMT,AMERICAN TOWER CL A,11/3/2005
C2,ANF,ABERCROMBIE & FITCH CO,9/29/2011
CBOE,ANGI,Angie's List Inc.,4/26/2013
C2,ANR,ALPHA NATURAL RESOURCES INC,9/29/2011
CBOE,AON,Aon plc,2/12/2010
BOX,APA,APACHE CORP,11/1/2011
PHLX,APC,ANADARKO PETROLEUM CORPORATION,5/11/2010
CBOE,APO,Apollo Global Management LLC,4/9/2013
ARCA,AREX,Approach Resources Inc.,8/15/2012
AMEX,ARW,ARROW ELECTRONICS INC.,4/21/2008
ARCA,ASML,ASML HOLDING NV,2/12/2010
CBOE,ATI,"Allegheny Technologies, Inc.",11/18/2010
ARCA,AVGO,Avago Technologies Limited,12/14/2012
ARCA,AXLL,Axiall Corporation,1/29/2013
C2,AXP,AMERICAN EXPRESS,9/29/2011
ARCA,AZN,ASTRAZENECA PLC,10/2/2012
C2,BA,BOEING CO,9/29/2011
AMEX,BAX,BAXTER INTERNATIONAL INC.,4/26/2004
ISE,BBBY,BED BATH & BEYOND INC.,4/7/2011
AMEX,BCO,BRINK'S COMPANY THE,9/15/2009
AMEX,BEAM,Beam Inc,10/4/2011
ISE,BEAM,Beam Inc,10/4/2011
BOX,BG,BUNGE LIMITED,4/7/2011
AMEX,BHI,BAKER HUGHES INC,4/6/2011
ARCA,BHP,BHP BILLITON LMTD ADS,10/24/2011
AMEX,BHP,BHP BILLITON LMTD ADS,9/25/2006
PHLX,BIG,BIG LOTS INC.,7/10/2008
CBOE,BKD,Brookdale Senior Living Inc,11/20/2012
PHLX,BKE,"The Buckle, Inc.",7/27/2010
ISE,BMC,BMC SOFTWARE INC.,4/7/2011
C2,BMY,BRISTOL-MYERS SQUIBB COMPANY,10/21/2013
C2,BP,BP PLC,9/29/2011
PHLX,BTU,PEABODY ENERGY CORPORATION,4/5/2011
ARCA,BUD,Anheuser-Busch InBev,3/12/2012
PHLX,BWA,BORGWARNER INC.,10/13/2011
ISE,BXP,BOSTON PROPERTIES INC,4/12/2011
ARCA,C,CITIGROUP INC,5/15/2013
