Initiating Exchange,Option Symbol,Option Name,Program List Date
NSDQ,AAPL,Apple Inc,1/7/2011
ISE,AAPL7,"Apple, Inc. (10-Share Mini Option)",3/15/2013
NSDQ,AMZN,AMAZON COM,1/7/2011
ISE,AMZN7,Amazon.com Inc. (10-Share Mini Option),3/15/2013
CBOE,BIIB,BIOGEN IDEC INC.,4/8/2013
CBOE,CF,CF Industries Holdings Inc,3/22/2013
CBOE,CMG,Chipotle Mexican Grill Inc,3/22/2013
ISE,GOOG,"GOOGLE, INC",1/26/2011
ISE,GOOG7,"Google, Inc. (10-Share Mini Option)",3/15/2013
NSDQ,GS,GOLDMAN SACHS GROUP,1/7/2011
PHLX,IBM,INTL BUSINESS MACHINE,1/7/2011
CBOE,ISRG,"INTUITIVE SURGICAL, INC.",3/22/2013
C2,LNKD,LinkedIn Corp.,5/2/2013
NSDQ,MA,"MAsterCard, Inc. Class A",1/7/2011
PHLX,NEU,NEWMARKET CORPORATION,11/6/2012
NSDQ,NFLX,NETFLIX INC,1/7/2011
GEM,PCLN,PRICELINE.COM INC,10/22/2013
ISE,PXD,PIONEER NATURAL RESOURCES COS,10/22/2013
CBOE,REGN,REGENERON PHARMACEUTICALS,8/5/2013
PHLX,TSLA,Tesla Motors Inc,8/5/2013
C2,V,Visa Inc.,6/12/2013
