Initiating Exchange,Option Symbol,Option Name,Program List Date
PHLX,ALU,ALCATEL-LUCENT,8/27/2010
PHLX,AMD,ADVANCED MICRO-DEVICES,8/30/2010
CBOE,ARIA,ARIAD PHARMA,8/27/2010
ISE,ARNA,ARENA PHARMACEUTICALS INC,8/27/2010
ARCA,BAC,BANK OF AMERICA CORP.,8/25/2011
CBOE,BIOD,"Biodel, Inc.",11/5/2010
ISE,BRCD,"BROCADE COMM., SYSTEMS",8/27/2010
ISE,CNO,"CNO Financial Group, Inc",8/27/2010
CBOE,CTIC,"Cell Therapeutics, Inc.",8/27/2010
ARCA,CX,Cemex SAB de CV,10/12/2011
ISE,DRYS,DRY SHIPS INC,8/27/2010
ISE,ELN,ELAN CORPORATION PLC,8/27/2010
ARCA,F,FORD MOTOR COMPANY,8/21/2012
ARCA,FIG,Fortress Investment Group LLC,3/22/2011
PHLX,FRO,FRONTLINE LIMITED,2/28/2013
ARCA,GALE,Galena Biopharma Inc.,10/8/2013
CBOE,GNK,Genco Shipping & Trading Ltd.,4/10/2012
ISE,HBAN,HUNTINGTON BANCSHARES,8/27/2010
CBOE,HERO,"Hercules Offshore, Inc.",10/22/2010
ISE,HL,HECLA  MINING COMPANY,8/27/2010
PHLX,HMY,HARMONY GOLD MINING COMP. LTD.,12/3/2013
ARCA,HOV,HOVNANIAN ENTERPRISES INC,7/28/2011
BOX,HZNP,"Horizon Pharma, Inc.",3/7/2013
AMEX,IMMU,IMMUNOMEDICS INC,7/3/2013
ISE,JBLU,JETBLUE AIRWAYS CORPORATI,8/27/2010
AMEX,JCP,J C PENNY,10/17/2013
ISE,KEY,KEYCORP NEW,8/27/2010
AMEX,KWK,QUICKSILVER RESOURCES INC.,12/5/2013
ISE,LDK,"LDK Solar Co., Ltd.",8/27/2010
PHLX,LLEN,L&L Energy Inc.,11/7/2013
ARCA,LVLT,LEVEL3 COMMUNICATIONS,4/7/2011
ISE,MBI,MBIA INC.,8/27/2010
ARCA,MCP,"Molycorp, Inc.",4/18/2013
ISE,MTOR,"Meritor, Inc.",11/28/2012
PHLX,NBG,National Bank of Greece S.A.,7/30/2013
PHLX,NOK,NOKIA CORP,8/30/2010
CBOE,OCZ,OCZ Technology Group Inc,10/30/2012
ISE,ODP,OFFICE DEPOT INC.,8/27/2010
ARCA,ONTY,"Oncothyreon, Inc.",1/6/2011
NSDQ,OPK,"Opko Health, Inc.",2/1/2013
ARCA,PAL,NORTH AMERICAN PALLADIUM,6/22/2011
ARCA,PHM,"Pulte Group, Inc.",8/19/2011
PHLX,RAD,RITE AID CORPORATION,4/12/2013
ISE,RF,REGIONS FINANCIAL CORP,8/27/2010
CBOE,RSH,RADIOSHACK CORP.,4/11/2012
ISE,S,SPRINT CORPORATION,8/27/2010
ISE,SID,COMPANHIA SIDERURGICAL NACIONAL ADR,2/13/2013
ISE,SIRI,Sirius XM Holdings Inc.,8/27/2010
ISE,SNV,SYNOVOUS FINANCIAL CORP,8/27/2010
ISE,SQNM,Sequenom Inc.,8/27/2010
PHLX,TC,Thompson Creek Metals Co Inc,9/27/2013
ISE,THC,TENET HEALTHCARE CORP,8/27/2010
PHLX,VICL,Vical Inc,11/7/2013
PHLX,YGE,"Yingli Green Energy Holding Co., Ltd",3/12/2013
AMEX,ZIOP,"Ziopharm Oncology, Inc.",3/27/2013
PHLX,ZNGA,Zynga Inc.,11/23/2012
