Initiating Exchange,Option Symbol,Option Name,Program List Date
PHLX,A,"AGILENT TECHNOLOGIES, INC.",9/2/2009
AMEX,AA,"ALCOA, INC",3/23/2009
ISE,AAL,"American Airlines Group, Inc.",12/16/2013
BOX,AAV,Advantage Oil & Gas Ltd.,8/10/2010
ISE,ABB,ABB LTD-SPON ADR,7/9/2010
AMEX,ABFS,ARKANSAS BEST CORPORATION,10/7/2013
C2,ABT,ABBOTT LABORATORIES,9/29/2011
ARCA,ABX,BARRICK GOLD CORP,3/24/2009
AMEX,ACAD,ACADIA Pharmaceuticals Inc.,11/27/2012
C2,ACAS,American Capital Ltd.,9/29/2011
ISE,ACH,Aluminum Corp. of China Ltd.,10/19/2009
AMEX,ACHN,"Achillion Pharmaceuticals, Inc.",9/16/2013
BOX,ACI,"ARCH COAL, INC.",4/7/2009
ARCA,ACOR,"Acorda Therapeutics, Inc.",1/7/2010
ISE,ADBE,ADOBE SYSTEMS INC.,3/31/2009
NSDQ,ADI,ANALOG DEVICES INC,7/14/2010
AMEX,ADM,ARCHER DANIELS MIDLAND CO,3/23/2009
ARCA,ADSK,AUTODESK INC,4/13/2009
PHLX,ADT,The ADT Corporation,10/3/2012
BOX,ADTN,"ADTRAN, INC.",8/10/2010
NSDQ,AEO,AMERICAN EAGLE OUTFITTERS,7/9/2010
NSDQ,AEP,AMERICAN ELEC POWER,9/2/2009
CBOE,AES,AES CORP.,4/28/2010
C2,AET,"Aetna, Inc.",9/29/2011
CBOE,AFFY,Affymax Inc.,8/12/2010
PHLX,AGNC,American Capital Agency Corporation,7/14/2010
C2,AGO,ASSURED GUARANTY LTD,9/29/2011
PHLX,AH,Accretive Health Inc.,4/25/2012
BOX,AIG,AMERICAN INTERNATIONAL GROUP,4/22/2008
BOX,AINV,Apollo Investment Corporation,8/10/2010
AMEX,AIXG,Aixtron SE American Depository Shares,7/13/2010
AMEX,AKAM,"AKAMAI TECHNOLOGIES, INC",3/23/2009
