Option Symbol,Underlying Symbol,Option Name,Activation Date,Exchange Selection
EWJ,EWJ,iShares MSCI Japan ETF,7/30/2012,Y
AMZN7,AMZN,Amazon.com Inc. (10-Share Mini Option),3/18/2013,Y
AAPL7,AAPL,"Apple, Inc. (10-Share Mini Option)",3/18/2013,Y
AA,AA,"ALCOA, INC",8/4/2011,Y
ANR,ANR,ALPHA NATURAL RESOURCES INC,2/13/2012,Y
APC,APC,ANADARKO PETROLEUM CORPORATION,2/13/2012,Y
EMC,EMC,EMC CORP,7/30/2012,Y
FB,FB,Facebook Inc.,5/29/2012,Y
F,F,FORD MOTOR COMPANY,7/2/2010,Y
GOOG7,GOOG,"Google, Inc. (10-Share Mini Option)",3/18/2013,Y
GPS,GPS,GAP INC,7/30/2012,Y
GILD,GILD,"GILEAD SCIENCES, INC.",2/11/2013,Y
GOOG,GOOG,"GOOGLE, INC",7/2/2010,Y
EUU,EUU,ISE FX Spot EURUSD,5/14/2012,Y
LNKD,LNKD,LinkedIn Corp.,11/21/2011,Y
XLB,XLB,MATERIALS SELECT SECTOR SPDR,2/13/2012,Y
MET,MET,"METLIFE, INC.",8/27/2012,Y
MU,MU,MICRON TECH,9/22/2011,Y
NFLX,NFLX,NETFLIX INC,8/31/2010,Y
TBT,TBT,Proshares Ultrashort 20+ Year Treasury,3/31/2011,Y
POT,POT,POTASH CORP,12/2/2010,Y
QCOM,QCOM,Qualcomm Inc.,8/4/2011,Y
SNDK,SNDK,SANDISK CORP.,9/22/2011,Y
GLD7,GLD,SPDR Gold Trust (10-Share Mini Option),3/18/2013,Y
XME,XME,SPDR S&P Metals & Mining ETF,7/30/2012,Y
S,S,SPRINT CORPORATION,7/22/2013,Y
SPY7,SPY,SPY Option (10 Share),3/18/2013,Y
GDX,GDX,The Market Vectors - Gold Miners ETF,7/2/2010,Y
UNH,UNH,UNITEDHEALTH GROUP INC.,5/29/2012,Y
WFC,WFC,WELLS FARGO & CO,3/31/2011,Y
VXX,VXX,iPATH S&P 500 VIX Short-Term Futures ETN,8/26/2010,N
HYG,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,8/28/2013,N
FXI,FXI,iShares China Large-Cap ETF,9/29/2011,N
EWZ,EWZ,iShares MSCI Brazil Capped ETF,2/17/2011,N
EEM,EEM,iShares MSCI Emerging Markets ETF,6/18/2010,N
EFA,EFA,iShares MSCI EAFE ETF,6/19/2012,N
EWW,EWW,iShares MSCI Mexico Capped ETF,12/4/2013,N
IWM,IWM,iShares Russell 2000 ETF,6/18/2010,N
SLV,SLV,iShares Silver Trust,10/28/2010,N
ITB,ITB,iShares U.S. Home Construction ETF,12/4/2013,N
IYR,IYR,iShares U.S. Real Estate ETF,8/28/2013,N
TLT,TLT,iShares 20+ Year Treasury Bond ETF,7/14/2011,N
ACN,ACN,Accenture PLC,4/16/2012,N
ATVI,ATVI,"Activision Blizzard, Inc.",9/4/2013,N
AET,AET,"Aetna, Inc.",5/29/2012,N
