Cycle,Exch ID,Root Opt Symbol,Strike,Call Code,Expire Date,Type of Change,Effective Date,Underlying Opt Sym,Underlying Stk Sym,Description of Change,Time Entered,PC/Last Stk Price,Product Type
MAR,I,RMAX,25,,20131116,A,20131014,,RMAX,,,,E
MAR,I,RMAX,30,,20131116,A,20131014,,RMAX,,,,E
MAR,I,RMAX,35,,20131116,A,20131014,,RMAX,,,,E
MAR,I,RMAX,22.5,,20131221,A,20131111,,RMAX,,,,E
MAR,I,RMAX,25,,20131221,A,20131014,,RMAX,,,,E
MAR,I,RMAX,30,,20131221,A,20131014,,RMAX,,,,E
MAR,I,RMAX,35,,20131221,A,20131014,,RMAX,,,,E
MAR,I,RMAX,20,,20140322,A,20131111,,RMAX,,,,E
MAR,I,RMAX,22.5,,20140322,A,20131111,,RMAX,,,,E
MAR,I,RMAX,25,,20140322,A,20131014,,RMAX,,,,E
MAR,I,RMAX,30,,20140322,A,20131014,,RMAX,,,,E
MAR,I,RMAX,35,,20140322,A,20131014,,RMAX,,,,E
MAR,I,RMAX,17.5,,20140621,A,20131111,,RMAX,,,,E
MAR,I,RMAX,20,,20140621,A,20131111,,RMAX,,,,E
MAR,I,RMAX,22.5,,20140621,A,20131021,,RMAX,,,,E
MAR,I,RMAX,25,,20140621,A,20131021,,RMAX,,,,E
MAR,I,RMAX,30,,20140621,A,20131021,,RMAX,,,,E
MAR,I,RMAX,35,,20140621,A,20131021,,RMAX,,,,E
MAR,I,RMAX,40,,20140621,A,20131021,,RMAX,,,,E
MAR,I,BURL,22.5,,20131116,A,20131014,,BURL,,,,E
MAR,I,BURL,25,,20131116,A,20131014,,BURL,,,,E
MAR,I,BURL,30,,20131116,A,20131014,,BURL,,,,E
MAR,I,BURL,22.5,,20131221,A,20131014,,BURL,,,,E
MAR,I,BURL,25,,20131221,A,20131014,,BURL,,,,E
MAR,I,BURL,30,,20131221,A,20131014,,BURL,,,,E
MAR,I,BURL,22.5,,20140322,A,20131014,,BURL,,,,E
MAR,I,BURL,25,,20140322,A,20131014,,BURL,,,,E
MAR,I,BURL,30,,20140322,A,20131014,,BURL,,,,E
MAR,I,BURL,20,,20140621,A,20131021,,BURL,,,,E
MAR,I,BURL,22.5,,20140621,A,20131021,,BURL,,,,E
MAR,I,BURL,25,,20140621,A,20131021,,BURL,,,,E
MAR,I,BURL,30,,20140621,A,20131021,,BURL,,,,E
MAR,I,BURL,35,,20140621,A,20131021,,BURL,,,,E
MAR,I,PEGI,12.5,,20140621,A,20131021,,PEGI,,,,E
MAR,I,PEGI,15,,20140621,A,20131021,,PEGI,,,,E
MAR,I,PEGI,17.5,,20140621,A,20131021,,PEGI,,,,E
MAR,I,PEGI,20,,20131116,A,20131009,,PEGI,,,,E
MAR,I,PEGI,20,,20131221,A,20131009,,PEGI,,,,E
MAR,I,PEGI,20,,20140322,A,20131009,,PEGI,,,,E
MAR,I,PEGI,20,,20140621,A,20131021,,PEGI,,,,E
MAR,I,PEGI,22.5,,20131116,A,20131009,,PEGI,,,,E
MAR,I,PEGI,22.5,,20131221,A,20131009,,PEGI,,,,E
MAR,I,PEGI,22.5,,20140322,A,20131009,,PEGI,,,,E
MAR,I,PEGI,22.5,,20140621,A,20131021,,PEGI,,,,E
MAR,I,PEGI,25,,20131116,A,20131009,,PEGI,,,,E
MAR,I,PEGI,25,,20131221,A,20131009,,PEGI,,,,E
MAR,I,PEGI,25,,20140322,A,20131009,,PEGI,,,,E
MAR,I,PEGI,25,,20140621,A,20131021,,PEGI,,,,E
MAR,I,PEGI,30,,20140621,A,20131021,,PEGI,,,,E
MAR,I,FTD,30,,20131116,A,20131101,,FTD,,,,E
MAR,I,FTD,35,,20131116,A,20131101,,FTD,,,,E
MAR,I,FTD,40,,20131116,A,20131101,,FTD,,,,E
MAR,I,FTD,30,,20131221,A,20131101,,FTD,,,,E
MAR,I,FTD,35,,20131221,A,20131101,,FTD,,,,E
MAR,I,FTD,40,,20131221,A,20131101,,FTD,,,,E
MAR,I,FTD,30,,20140322,A,20131101,,FTD,,,,E
MAR,I,FTD,35,,20140322,A,20131101,,FTD,,,,E
MAR,I,FTD,40,,20140322,A,20131101,,FTD,,,,E
MAR,I,FTD,30,,20140621,A,20131101,,FTD,,,,E
MAR,I,FTD,35,,20140621,A,20131101,,FTD,,,,E
MAR,I,FTD,40,,20140621,A,20131101,,FTD,,,,E
