SYMBOL,NAME,ISE BIN,ISE PMM,ISE PART.,PRODUCT TYPE,POINTS PER PRODUCT,SELECT PRODUCTS,PENNY,WEEKLY,4:15 PM CLOSE,GEMINI PMM,GEMINI BIN,GEMINI PART.
AUM,ISE SPOT AUDUSD,81,TIMBER HILL LLC,7,CURRENCY,0,,X,,X,,,
AUX,ISE FX AUSTRALIAN DOLLAR,81,TIMBER HILL LLC,1,CURRENCY,0,,X,,X,,,
BPX,ISE FX BRITISH POUND,81,TIMBER HILL LLC,7,CURRENCY,0,,X,,X,,,
BRB,ISE FX BRAZILIAN REAL,81,TIMBER HILL LLC,7,CURRENCY,0,,X,,X,,,
CDD,ISE FX CANADIAN DOLLAR,81,TIMBER HILL LLC,9,CURRENCY,0,,X,X,X,,,
DBA,POWERSHARES DB AGRICULTURE FUND,8,CITADEL SECURITIES LLC,1,ETF,0,,,,X,"WOLVERINE TRADING, LLC",31,57
DBC,POWERSHARES DB COMMODITY INDEX TRACKING FUND (,9,GOLDMAN SACHS & CO,9,ETF,0,,,,X,,,
DIA,DIAMONDS ® TRUST SERIES 1,4,CITADEL SECURITIES LLC,8,ETF,0.4,,X,X,X,SUSQUEHANNA SECURITIES,33,55
EEM,ISHARES MSCI EMERGING MARKETS INDEX FUND ,7,TIMBER HILL LLC,8,ETF,2.54,,X,X,X,MERRILL LYNCH PROFESSIONAL CLEARING CORP.,37,52
EFA,ISHARES MSCI EAFE INDEX FUND,7,TIMBER HILL LLC,8,ETF,0.43,,X,X,X,"GOLDMAN, SACHS & CO",34,55
EUI,ISE FX EURO,81,TIMBER HILL LLC,2,CURRENCY,0,,X,,X,,,
EUU,ISE SPOT EURUSD,81,TIMBER HILL LLC,1,CURRENCY,0,,X,X,X,,,
GBP,ISE SPOT GBPUSD,81,TIMBER HILL LLC,1,CURRENCY,0,,X,,X,,,
IWM,ISHARES RUSSELL 2000 INDEX FUND,7,TIMBER HILL LLC,4,ETF,3.67,,X,X,X,CITADEL SECURITIES LLC,35,53
IWN,ISHARES RUSSELL 2000 VALUE INDEX FUND,7,TIMBER HILL LLC,4,ETF,0,,,,X,,,
IWO,ISHARES RUSSELL 2000 GROWTH,4,CITADEL SECURITIES LLC,9,ETF,0,,,,X,"WOLVERINE TRADING, LLC",31,57
IWV,ISHARES RUSSELL 3000 INDEX FUND,5,MERRILL LYNCH PROFESSIONAL CLEARING CORP,1,ETF,0,,,,X,,,
KBE,STREETTRACKS ETF KBW BANK ,7,TIMBER HILL LLC,9,ETF,0,,,,X,CITADEL SECURITIES LLC,35,56
KRE,KBW REGIONAL BANKING SPDR,8,CITADEL SECURITIES LLC,1,ETF,0.05,,X,,X,TIMBER HILL LLC,36,52
MDY,S & P MIDCAP 400 DEPOSITROY RECEIPTS,4,CITADEL SECURITIES LLC,1,ETF,0.02,,,,X,"GOLDMAN, SACHS & CO",34,52
MNX,THE MINI-NASDAQ-100 INDEX,8,CITADEL SECURITIES LLC,1,INDEX,0,,X,,X,SUSQUEHANNA SECURITIES,33,54
MOO,MARKET VECTORS-AGRIBUSINESS ETF,8,CITADEL SECURITIES LLC,6,ETF,0,,,,X,,,
NDO,ISE SPOT NZDUSD,81,TIMBER HILL LLC,2,CURRENCY,0,,X,,X,,,
NDX,THE NASDAQ-100 INDEX,8,CITADEL SECURITIES LLC,3,INDEX,0.24,,,X,X,"BARCLAYS CAPITAL, INC",38,53
NZD,ISE NEW ZEALAND DOLLAR,81,TIMBER HILL LLC,7,CURRENCY,0,,X,,X,,,
OEF,ISHARES S&P INDEX FUND,5,MERRILL LYNCH PROFESSIONAL CLEARING CORP,1,ETF,0,,,,X,,,
PZO,ISE MEXICAN PESO,81,TIMBER HILL LLC,1,CURRENCY,0,,X,,X,,,
QQQ,POWERSHARES QQQ TRUST SERIES 1,2,GOLDMAN SACHS & CO,7,ETF,2.44,,X,X,X,MORGAN STANLEY & CO. LLC,32,54
SFC,ISE FX SWISS FRANC,81,TIMBER HILL LLC,7,CURRENCY,0,,X,,X,,,
SKA,ISE SWEDISH KRONA,81,TIMBER HILL LLC,9,CURRENCY,0,,X,,X,,,
SLX,MARKET VECTORS STEEL ETF,5,MERRILL LYNCH PROFESSIONAL CLEARING CORP,9,ETF,0,,,,X,,,
SPY,STANDARD & POORS DEPOSITARY RECEIPTS,8,CITADEL SECURITIES LLC,3,ETF,15,,X,X,X,SUSQUEHANNA SECURITIES,33,51
UNG,UNITED STATES NATURAL GAS FUND,4,CITADEL SECURITIES LLC,2,ETF,0.19,,X,X,X,"BARCLAYS CAPITAL, INC",38,53
UUP,POWERSHARES DB US DOLLAR BULLISH FUND,8,CITADEL SECURITIES LLC,1,ETF,0.06,,X,X,X,"WOLVERINE TRADING, LLC",31,51
VXX,IPATH S AND P 500 VIX SHORT-TERM,8,CITADEL SECURITIES LLC,1,ETF,2.42,,X,X,X,TIMBER HILL LLC,36,51
XHB,STREETTRACKS HOMEBUILDERS FUND ,7,TIMBER HILL LLC,8,ETF,0.13,,X,X,X,"GOLDMAN, SACHS & CO",34,53
XLB,MATERIALS SELECT SECTOR SPDR,3,CITIGROUP DERIVATIVES MARKETS INC,4,ETF,0.07,,X,X,X,"BARCLAYS CAPITAL, INC",38,55
XLE,ENERGY SELECT SECTOR SPDR FUND,10,MORGAN STANLEY & CO INC,4,ETF,0.23,,X,X,X,"GOLDMAN, SACHS & CO",34,51
XLF,FINANCIAL SELECT SECTOR SPDR FUND,10,MORGAN STANLEY & CO INC,4,ETF,1.43,,X,,X,"GOLDMAN, SACHS & CO",34,55
XLI,INDUSTRIAL SELECT SECTOR SPDR,7,TIMBER HILL LLC,9,ETF,0.11,,X,,X,"GOLDMAN, SACHS & CO",34,55
XLK,TECHNOLOGY SELECT SECTOR SPDR FUND ,4,CITADEL SECURITIES LLC,1,ETF,0.11,,X,,X,"BARCLAYS CAPITAL, INC",38,53
XLP,CONSUMER STAPLES SELECT SECTOR SPDR FUND ,6,UBS SECURITIES LLC,2,ETF,0.11,,X,,X,"BARCLAYS CAPITAL, INC",38,55
XLU,UTILITIES SELECT SECTOR SPDR FUND ,9,GOLDMAN SACHS & CO,4,ETF,0.2,,X,,X,"BARCLAYS CAPITAL, INC",38,55
