Cycle,Exch ID,Root Opt Symbol,Strike,Call Code,Expire Date,Type of Change,Effective Date,Underlying Opt Sym,Underlying Stk Sym,Description of Change,Time Entered,PC/Last Stk Price,Product Type
FEB,I,AAL,55,,20141128,A,20141120,,AAL,Weekly options expiration violation,,,E
JAN,I,AAPL,150,,20141128,A,20141120,,AAPL,,,,E
JAN,I,AAPL,145,,20141128,A,20141120,,AAPL,,,,E
JAN,I,AAPL,140,,20141128,A,20141120,,AAPL,,,,E
JAN,I,AAPL,135,,20141128,A,20141120,,AAPL,,,,E
JAN,I,AAPL,155,,20141128,A,20141120,,AAPL,,,,E
FEB,I,ABBV,80,,20141128,A,20141120,,ABBV,Weekly options expiration violation,,,E
FEB,I,ABBV,85,,20141128,A,20141120,,ABBV,Weekly options expiration violation,,,E
FEB,I,ACN,100,,20141128,A,20141120,,ACN,Weekly options expiration violation,,,E
FEB,I,ACN,105,,20141128,A,20141120,,ACN,Weekly options expiration violation,,,E
FEB,I,ACT,315,,20141128,A,20141120,,ACT,,,,E
FEB,I,ACT,325,,20141128,A,20141120,,ACT,,,,E
FEB,I,ACT,320,,20141128,A,20141120,,ACT,,,,E
FEB,I,ACT,340,,20141128,A,20141120,,ACT,Weekly options expiration violation,,,E
FEB,I,ACT,335,,20141128,A,20141120,,ACT,Weekly options expiration violation,,,E
FEB,I,ACT,330,,20141128,A,20141120,,ACT,,,,E
JAN,I,AET,105,,20141128,A,20141120,,AET,Weekly options expiration violation,,,E
JAN,I,AET,110,,20141128,A,20141120,,AET,Weekly options expiration violation,,,E
JAN,I,AGN,255,,20141128,A,20141120,,AGN,,,,E
JAN,I,AGN,265,,20141128,A,20141120,,AGN,,,,E
JAN,I,AGN,260,,20141128,A,20141120,,AGN,,,,E
JAN,I,AGN,275,,20141128,A,20141120,,AGN,,,,E
JAN,I,AGN,270,,20141128,A,20141120,,AGN,,,,E
MAR,I,AGQ,29,,20141128,A,20141120,,AGQ,Weekly options expiration violation,,,E
MAR,I,AGQ,28,,20141128,A,20141120,,AGQ,Weekly options expiration violation,,,E
JAN,I,AGU,130,,20141128,A,20141120,,AGU,Weekly options expiration violation,,,E
JAN,I,AGU,125,,20141128,A,20141120,,AGU,Weekly options expiration violation,,,E
JAN,I,AGU,120,,20141128,A,20141120,,AGU,Weekly options expiration violation,,,E
FEB,I,AIG,65,,20141128,A,20141120,,AIG,Weekly options expiration violation,,,E
FEB,I,AIG,70,,20141128,A,20141120,,AIG,Weekly options expiration violation,,,E
FEB,I,AKAM,75,,20141128,A,20141120,,AKAM,Weekly options expiration violation,,,E
FEB,I,AKAM,80,,20141128,A,20141120,,AKAM,Weekly options expiration violation,,,E
FEB,I,ALKS,70,,20141220,A,20141120,,ALKS,,,,E
FEB,I,ALKS,80,,20141220,A,20141120,,ALKS,,,,E
FEB,I,ALKS,75,,20150515,A,20141120,,ALKS,,,,E
FEB,I,ALKS,75,,20141220,A,20141120,,ALKS,,,,E
FEB,I,ALKS,70,,20150515,A,20141120,,ALKS,,,,E
FEB,I,ALKS,80,,20150515,A,20141120,,ALKS,,,,E
FEB,I,ALXN,235,,20141128,A,20141120,,ALXN,,,,E
FEB,I,ALXN,250,,20141128,A,20141120,,ALXN,,,,E
FEB,I,ALXN,245,,20141128,A,20141120,,ALXN,,,,E
FEB,I,ALXN,255,,20141128,A,20141120,,ALXN,,,,E
JAN,I,AMGN,205,,20141128,A,20141120,,AMGN,,,,E
JAN,I,AMGN,215,,20141128,A,20141120,,AMGN,,,,E
JAN,I,AMGN,210,,20141128,A,20141120,,AMGN,,,,E
JAN,I,AMGN,225,,20141128,A,20141120,,AMGN,,,,E
JAN,I,AMGN,220,,20141128,A,20141120,,AMGN,,,,E
MAR,I,AMRN,3,,20141128,A,20141120,,AMRN,,,,E
MAR,I,AMRN,2.5,,20141128,A,20141120,,AMRN,,,,E
JAN,I,AMT,130,,20141128,A,20141120,,AMT,Weekly options expiration violation,,,E
JAN,I,AMT,125,,20141128,A,20141120,,AMT,Weekly options expiration violation,,,E
JAN,I,AMT,120,,20141128,A,20141120,,AMT,Weekly options expiration violation,,,E
JAN,I,AMZN7,370,,20141128,A,20141120,,AMZN,,,,E
JAN,I,AMZN7,385,,20141128,A,20141120,,AMZN,,,,E
JAN,I,AMZN7,380,,20141128,A,20141120,,AMZN,,,,E
JAN,I,AMZN7,375,,20141128,A,20141120,,AMZN,,,,E
FEB,I,ANF,21,,20141128,A,20141120,,ANF,Weekly options expiration violation,,,E
